Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Deal Rating,Days on Market,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL
2024 Bentley Bentayga Azure V8 AWD,Bentley,Bentayga,2024,SJAAT2ZV4RC025163,"Wayland, MA",New,"$263,268",$263155.0,https://static.cargurus.com/images/forsale/2024/06/26/14/02/2024_bentley_bentayga-pic-7315816792423557222-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, CarPlay",20 Miles,Azure V8 AWD,BLUE,SUV / Crossover,Gasoline,542 hp 4L V8,NA,150,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Boston,Wayland,MA,01778,4.5,(866) 932-1556,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=379887655&entitySelectingHelper.selectedEntity=NEW_CAR#listing=379887655/NEWCAR_FEATURED/DEFAULT
2024 Bentley Continental GT V8 AWD,Bentley,Continental GT,2024,SCBCG2ZG1RC016033,"La Jolla, CA",New,"$264,356",,https://static.cargurus.com/images/forsale/2024/07/10/00/16/2024_bentley_continental_gt-pic-1200483092256556939-1024x768.jpeg,"Navigation System, Alloy Wheels, Backup Camera, Heated Seats, Android Auto, CarPlay",35 Miles,V8 AWD,WHITE,Coupe,Gasoline,542 hp 4L V8,NA,20,ALL_WHEEL_DRIVE,,,,O'Gara Coach La Jolla,La Jolla,CA,92037,4.67,(858) 304-7026,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390324199&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390324199/NEWCAR_FEATURED/DEFAULT
2023 Bentley Bentayga EWB V8 AWD,Bentley,Bentayga,2023,SJAHT2ZV0PC019338,"Bellevue, WA",New,"$264,640",,https://static.cargurus.com/images/forsale/2024/07/02/23/22/2023_bentley_bentayga-pic-9009874031276739104-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",173 Miles,EWB V8 AWD,BLACK,SUV / Crossover,Gasoline,542 hp 4L V8,NA,501,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,"Bentley, Lamborghini, McLaren, Rolls-Royce Motorcars of Seattle",Bellevue,WA,98005,4.68,(425) 474-5228,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=352394567&entitySelectingHelper.selectedEntity=NEW_CAR#listing=352394567/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga EWB Azure V8 AWD,Bentley,Bentayga,2024,SJAHT2ZV1RC025409,"Edison, NJ",New,"$266,894",$266290.0,https://static.cargurus.com/images/forsale/2024/04/05/10/51/2024_bentley_bentayga-pic-6607821387496584985-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Adaptive Suspension, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Android Auto, CarPlay",29 Miles,EWB Azure V8 AWD,UNKNOWN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,123,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley of Edison,Edison,NJ,08817,4.0,(732) 756-1093,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=382026435&entitySelectingHelper.selectedEntity=NEW_CAR#listing=382026435/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Edition 8 AWD,Bentley,Flying Spur,2024,SCBBG6ZG6RC016712,"Edison, NJ",New,"$268,204",$267600.0,https://static.cargurus.com/images/forsale/2024/07/10/21/45/2024_bentley_flying_spur-pic-739397249614548310-1024x768.jpeg,"Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, CarPlay",26 Miles,Edition 8 AWD,UNKNOWN,Sedan,Gasoline,542 hp 4L V8,NA,41,ALL_WHEEL_DRIVE,15.0 MPG,20.0 MPG,17.25 MPG,Bentley of Edison,Edison,NJ,08817,4.0,(732) 756-1093,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=388910411&entitySelectingHelper.selectedEntity=NEW_CAR#listing=388910411/NEWCAR_FEATURED/DEFAULT
2023 Bentley Bentayga S V8 AWD,Bentley,Bentayga,2023,SJAAT2ZV6PC024268,"Federal Way, WA",New,"$269,000",,https://static.cargurus.com/images/forsale/2024/07/19/19/54/2023_bentley_bentayga-pic-4849777897688859669-1024x768.jpeg,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats","4,150 Miles",S V8 AWD,GREEN,SUV / Crossover,Gasoline,542 hp 4L V8,NA,222,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,West State Motorsport,Federal Way,WA,98003,4.56,(206) 312-1853,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=374422078&entitySelectingHelper.selectedEntity=NEW_CAR#listing=374422078/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga Azure V8 AWD,Bentley,Bentayga,2024,SJAAT2ZV9RC025661,"La Jolla, CA",New,"$269,481",$265750.0,https://static.cargurus.com/images/forsale/2024/04/17/22/46/2024_bentley_bentayga-pic-2562849157088993745-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Adaptive Suspension, Backup Camera, Heated Seats, Android Auto, CarPlay",37 Miles,Azure V8 AWD,WHITE,SUV / Crossover,Gasoline,542 hp 4L V8,NA,103,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,O'Gara Coach La Jolla,La Jolla,CA,92037,4.67,(858) 304-7026,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=383713956&entitySelectingHelper.selectedEntity=NEW_CAR#listing=383713956/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Edition 8 AWD,Bentley,Flying Spur,2024,SCBBG6ZG9RC017501,"Wayland, MA",New,"$270,183",$270070.0,https://static.cargurus.com/images/forsale/2024/07/29/23/08/2024_bentley_flying_spur-pic-3724227715432100641-1024x768.jpeg,,26 Miles,Edition 8 AWD,UNKNOWN,Sedan,Gasoline,542 hp 4L V8,NA,7,ALL_WHEEL_DRIVE,15.0 MPG,20.0 MPG,17.25 MPG,Bentley Boston,Wayland,MA,01778,4.5,(866) 932-1556,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=391526727&entitySelectingHelper.selectedEntity=NEW_CAR#listing=391526727/NEWCAR_FEATURED/DEFAULT
2024 Bentley Flying Spur Edition 8 AWD,Bentley,Flying Spur,2024,SCBBG6ZG4RC018071,"Ashburn, VA",New,"$270,873",,https://static.cargurus.com/images/forsale/2024/07/10/08/21/2024_bentley_flying_spur-pic-7293277272737855677-1024x768.jpeg,,35 Miles,Edition 8 AWD,GREEN,Sedan,Gasoline,542 hp 4L V8,NA,19,ALL_WHEEL_DRIVE,15.0 MPG,20.0 MPG,17.25 MPG,Exclusive Automotive Group,Ashburn,VA,20147,4.36,(844) 951-2896,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=390361494&entitySelectingHelper.selectedEntity=NEW_CAR#listing=390361494/NEWCAR_FEATURED/DEFAULT
2024 Bentley Bentayga Azure V8 AWD,Bentley,Bentayga,2024,SJAAT2ZV2RC026327,"Thousand Oaks, CA",New,"$271,361",$267575.0,https://static.cargurus.com/images/forsale/2024/07/04/13/37/2024_bentley_bentayga-pic-1293526110476178077-1024x768.jpeg,"Sunroof/Moonroof, Navigation System, Adaptive Suspension, Backup Camera, Heated Seats, Android Auto, CarPlay",10 Miles,Azure V8 AWD,BLUE,SUV / Crossover,Gasoline,542 hp 4L V8,NA,91,ALL_WHEEL_DRIVE,14.0 MPG,21.0 MPG,17.15 MPG,Bentley Rolls-Royce Motor Cars Westlake,Thousand Oaks,CA,91362,0,(805) 222-7094,https://www.cargurus.com/Cars/inventorylisting/vdp.action?listingId=384767155&entitySelectingHelper.selectedEntity=NEW_CAR#listing=384767155/NEWCAR_FEATURED/DEFAULT
